index,batch,parent_order,parent_name,parent_slug,sub_treatment_name,sub_treatment_slug,visual_focus
37,2,04,Regenerative Treatments,regenerative-treatments,Plasma Gel,plasma-gel,"Sterile preparation with sealed patient-derived material containers and a conservative facial consultation; no exposed blood."
38,2,05,Biostimulators,biostimulators,Sculptra,sculptra,"Product-neutral collagen-stimulation consultation with a mature adult; focus on gradual facial firmness, no brand pack."
39,2,05,Biostimulators,biostimulators,Radiesse,radiesse,"Product-neutral mature face or hand assessment focused on structure and skin quality; no branded syringe."
40,2,05,Biostimulators,biostimulators,Hyperdilute Radiesse,hyperdilute-radiesse,"Mature neck and lower-face skin-quality consultation; no product pack, injection or instant-tightening effect."
41,2,05,Biostimulators,biostimulators,Lanluma,lanluma,"Consultation-led gradual collagen treatment planning with natural body or facial proportions; modest framing."
42,2,05,Biostimulators,biostimulators,Ellansé,ellanse,"Product-neutral facial collagen-stimulation assessment; realistic ageing and conservative proportions."
43,2,05,Biostimulators,biostimulators,HarmonyCa,harmonyca,"Product-neutral lower-face structure and skin-quality consultation; no branded packaging or injection."
44,2,06,Microneedling,microneedling,Standard — Face,standard-face,"Generic sterile microneedling pen gently contacting intact cheek skin; no visible needle tips or bleeding."
45,2,06,Microneedling,microneedling,Standard — Face (3 Sessions),standard-face-3-sessions,"Follow-up microneedling appointment with clinician reviewing a three-session skin plan; intact facial skin."
46,2,06,Microneedling,microneedling,Standard — Face & Neck,standard-face-and-neck,"Microneedling handpiece used gently across cheek and upper neck; intact skin and modest clinical draping."
47,2,06,Microneedling,microneedling,Standard — Face & Neck (3 Sessions),standard-face-and-neck-3-sessions,"Course-review consultation plus gentle face-and-neck microneedling setup; no punctures or bleeding."
48,2,06,Microneedling,microneedling,With Calecim — Face,with-calecim-face,"Gentle facial microneedling followed by unbranded topical conditioned-media serum application; no stem-cell graphics."
49,2,06,Microneedling,microneedling,With Calecim — Face (3 Sessions),with-calecim-face-3-sessions,"Clinician reviews a three-session plan and applies unbranded topical serum after facial microneedling."
50,2,06,Microneedling,microneedling,With Calecim — Face & Neck,with-calecim-face-and-neck,"Unbranded topical serum application across intact face and neck after gentle microneedling."
51,2,06,Microneedling,microneedling,With Calecim — Face & Neck (3 Sessions),with-calecim-face-and-neck-3-sessions,"Course-review setting with post-microneedling topical serum on face and neck; no branding."
52,2,06,Microneedling,microneedling,With PRP — Face,with-prp-face,"Facial microneedling with sealed PRP processing tubes on a sterile tray; no exposed blood."
53,3,06,Microneedling,microneedling,With PRP — Face (3 Sessions),with-prp-face-3-sessions,"Three-session PRP microneedling plan review with sealed processing tubes; calm facial treatment setting."
54,3,06,Microneedling,microneedling,With PRP — Face & Neck,with-prp-face-and-neck,"Gentle face-and-neck microneedling with sealed PRP tubes nearby; intact skin, no blood."
55,3,06,Microneedling,microneedling,With PRP — Face & Neck (3 Sessions),with-prp-face-and-neck-3-sessions,"Course-review consultation for PRP microneedling of face and neck; sealed tubes only."
56,3,06,Microneedling,microneedling,With Exosomes — Face,with-exosomes-face,"Facial microneedling followed by unbranded topical serum application; no injection, cells or DNA graphics."
57,3,06,Microneedling,microneedling,With Exosomes — Face (3 Sessions),with-exosomes-face-3-sessions,"Three-session plan review plus topical unbranded post-microneedling facial serum."
58,3,06,Microneedling,microneedling,With Exosomes — Face & Neck,with-exosomes-face-and-neck,"Post-microneedling topical serum applied to intact face and neck; no injection."
59,3,06,Microneedling,microneedling,With Exosomes — Face & Neck (3 Sessions),with-exosomes-face-and-neck-3-sessions,"Course-review setting with topical serum after face-and-neck microneedling; no unsupported science graphics."
60,3,07,RF Microneedling,rf-microneedling,Face,face,"Generic RF microneedling handpiece gently contacting cheek; device display softly out of focus; no exposed needle array."
61,3,07,RF Microneedling,rf-microneedling,Neck & Décolletage,neck-and-decolletage,"RF handpiece gently treating intact neck and upper chest with modest draping; no visible needles."
62,3,07,RF Microneedling,rf-microneedling,Face & Neck,face-and-neck,"RF microneedling treatment covering lower face and upper neck; accurate handpiece contact and intact skin."
63,3,07,RF Microneedling,rf-microneedling,Body,body,"Respectful modestly covered adult body-area RF treatment with realistic skin texture; no body-shaming pose."
64,3,07,RF Microneedling,rf-microneedling,Abdomen,abdomen,"Modestly framed abdomen RF microneedling with generic handpiece on intact skin; no dramatic tightening claim."
65,3,07,RF Microneedling,rf-microneedling,Above the Knees,above-the-knees,"Respectful close treatment view above the knees with realistic mature skin and generic RF handpiece."
66,3,08,HIFU,hifu,Brow Lift,brow-lift,"External ultrasound-style handpiece with coupling gel near brow/temple; eye kept safe; no surgical comparison."
67,3,08,HIFU,hifu,Cheeks,cheeks,"HIFU handpiece with coupling gel along mid-cheek; natural anatomy and no exaggerated lift."
68,3,08,HIFU,hifu,Jowls,jowls,"HIFU handpiece along lower cheek and jowl area; mature realistic skin; restrained result expectation."
69,3,08,HIFU,hifu,Neck,neck,"External ultrasound handpiece with gel on upper neck; modest draping and natural skin texture."
70,3,08,HIFU,hifu,Face & Neck,face-and-neck,"Clinician performs a consultation-led HIFU session across lower face and neck; generic device."
71,3,08,HIFU,hifu,Body — Small Area,body-small-area,"Respectful, modestly covered small body-area ultrasound treatment; no fat-loss or surgical-equivalent styling."
72,3,08,HIFU,hifu,Body — Large Area,body-large-area,"Respectful larger body-area HIFU treatment with generic handpiece; natural texture and no dramatic transformation."
73,3,09,Chemical Peel,chemical-peel,Single Treatment,single-treatment,"Clinician applies a clear superficial peel solution with a soft fan brush to healthy intact facial skin."
74,3,09,Chemical Peel,chemical-peel,Course of Four,course-of-four,"Chemical-peel course review with four-session plan card kept unreadable and gentle solution application."
75,3,10,3D HydrO2 Facial,hydro2-facial,30-Minute Facial,30-minute-facial,"Focused express hydradermabrasion-style facial using a generic handpiece on the cheek."
76,3,10,3D HydrO2 Facial,hydro2-facial,60-Minute Facial,60-minute-facial,"Multi-step hydration facial with cleansing and oxygen-infusion-style handpieces in a calm treatment room."
77,3,10,3D HydrO2 Facial,hydro2-facial,90-Minute Facial,90-minute-facial,"Extended luxury clinical facial with multiple generic hydration and ultrasound stages; no branded device."
78,3,11,Mesotherapy,mesotherapy,Single Session,single-session,"Product-neutral mesotherapy consultation and unbranded ampoule preparation; no needle entering skin."
79,4,11,Mesotherapy,mesotherapy,Treatment Course,treatment-course,"Clinician reviews a multi-session mesotherapy skin plan with unbranded preparation; no readable chart or injection."
80,4,12,LED Light Therapy,led-light-therapy,Red Light Therapy,red-light-therapy,"Patient reclined beneath a professional red LED facial panel with proper opaque eye protection; clinician adjusts device."
81,4,12,LED Light Therapy,led-light-therapy,Blue Light Therapy,blue-light-therapy,"Patient reclined beneath a professional blue LED facial panel with proper opaque eye protection; acne-care clinical setting."
82,4,13,Profhilo,profhilo,Face,face,"Mature adult facial hydration and laxity assessment; no branded packaging or injection papules."
83,4,13,Profhilo,profhilo,Hands,hands,"Well-groomed mature hands with natural veins and texture during clinician-led skin-quality assessment."
84,4,13,Profhilo,profhilo,Neck,neck,"Mature neck skin-quality and hydration consultation; natural crepey texture; no injection."
85,4,13,Profhilo,profhilo,Décolletage,decolletage,"Respectful upper-chest skin-quality assessment with modest draping and realistic sun-related texture."
86,4,13,Profhilo,profhilo,Course of 3 Treatments,course-of-3-treatments,"Follow-up consultation reviewing a three-session Profhilo plan; mature patient; no brand pack."
87,4,13,Profhilo,profhilo,Face + Hands + Neck + Décolletage,face-hands-neck-and-decolletage,"Comprehensive multi-area hydration planning consultation with face, hands, neck and upper chest represented naturally."
88,4,14,PRP (Platelet-Rich Plasma),prp,Face,face,"Calm facial PRP consultation with sealed processing tube on a sterile tray; no exposed blood."
89,4,14,PRP (Platelet-Rich Plasma),prp,Neck,neck,"Neck rejuvenation consultation with sealed PRP tube and modest draping; no injection."
90,4,14,PRP (Platelet-Rich Plasma),prp,Hands,hands,"Mature hand-rejuvenation consultation with sealed PRP preparation in background; natural veins and texture."
91,4,14,PRP (Platelet-Rich Plasma),prp,Décolletage,decolletage,"Respectful upper-chest regenerative consultation with sealed PRP tube; no blood or injection."
92,4,14,PRP (Platelet-Rich Plasma),prp,Face & Neck,face-and-neck,"Combined face-and-neck PRP planning with sealed processing tubes; calm clinical portrait."
93,4,14,PRP (Platelet-Rich Plasma),prp,Tear Trough,tear-trough,"Gentle under-eye assessment with sealed PRP tube in soft-focus background; no needle near eye."
94,4,14,PRP (Platelet-Rich Plasma),prp,PRP + Microneedling,prp-and-microneedling,"Generic microneedling handpiece on intact cheek with sealed PRP tube on sterile tray; no exposed blood."
95,4,14,PRP (Platelet-Rich Plasma),prp,Hair Loss,hair-loss,"Adult scalp and hair-density consultation with clinician parting hair gently; sealed PRP tube; no injection."
96,4,14,PRP (Platelet-Rich Plasma),prp,3-Session Package,3-session-package,"PRP follow-up consultation reviewing a three-session plan; sealed tubes and calm patient portrait."
97,4,15,Polynucleotides,polynucleotides,Face,face,"Refined facial skin-repair assessment with realistic texture; no DNA, fish or injection imagery."
98,4,15,Polynucleotides,polynucleotides,Eyes,eyes,"Gentle peri-orbital consultation preserving natural under-eye texture; no needle near eye or DNA graphics."
99,4,15,Polynucleotides,polynucleotides,Neck,neck,"Mature neck skin-repair and hydration assessment; natural texture; no biological graphics."
100,4,15,Polynucleotides,polynucleotides,Décolletage,decolletage,"Respectful upper-chest skin-repair consultation with modest draping; no DNA or fish imagery."
101,4,15,Polynucleotides,polynucleotides,Course of 3 Treatments,course-of-3-treatments,"Course-review consultation for three polynucleotide sessions; natural skin and no product branding."
102,4,15,Polynucleotides,polynucleotides,Face + Hands + Neck + Décolletage,face-hands-neck-and-decolletage,"Comprehensive multi-area skin-repair consultation; realistic face, hands, neck and upper-chest texture."
103,4,16,Medical-Grade Skincare,medical-grade-skincare,Obagi Skincare,obagi-skincare,"Clinician-led skin analysis with unbranded skincare containers and labels turned away; no prescription product advertising."
104,4,16,Medical-Grade Skincare,medical-grade-skincare,ZO Skincare,zo-skincare,"Personalised skincare-routine consultation with unbranded containers and labels turned away; clean clinical shelf."
